Team,G,W,Rk,Salary,ORtg,DRtg,TSp,eFGp,PPG,APG,RPG,OPG,DPG,SPG,BPG,TPG,FPG,PPM,APM,RPM
Atlanta Hawks,82,29,26,79180081,108.1,113.9,0.555,0.522,113.341,25.829,46.098,11.646,34.451,8.232,5.11,17.037,23.561,0.468,0.107,0.19
Boston Celtics,82,49,8,125334993,112.2,107.8,0.567,0.534,112.39,26.28,44.549,9.805,34.744,8.61,5.305,12.829,20.366,0.466,0.109,0.185
Brooklyn Nets,82,42,15,118850600,109.6,109.7,0.556,0.52,112.244,23.829,46.573,10.976,35.598,6.573,4.134,15.073,21.5,0.461,0.098,0.191
Charlotte Hornets,82,39,22,121427859,111.4,112.5,0.554,0.514,110.744,23.232,43.805,9.927,33.878,7.207,4.939,12.207,18.902,0.458,0.096,0.181
Chicago Bulls,82,22,27,112598201,104.8,113.2,0.541,0.505,104.939,21.902,42.89,8.756,34.134,7.354,4.28,14.134,20.28,0.432,0.09,0.177
Cleveland Cavaliers,82,19,30,123255073,107.7,117.6,0.54,0.503,104.476,20.707,42.659,10.72,31.939,6.512,2.378,13.488,20.024,0.434,0.086,0.177
Dallas Mavericks,82,33,19,86958881,109.4,110.7,0.555,0.519,108.866,23.39,45.317,10.146,35.171,6.5,4.28,14.232,20.122,0.451,0.097,0.188
Denver Nuggets,82,54,7,118327016,113,108.9,0.558,0.527,110.671,27.378,46.39,11.854,34.537,7.732,4.427,13.439,20.049,0.46,0.114,0.193
Detroit Pistons,82,41,17,126557932,109,109.2,0.544,0.509,107.049,22.5,44.976,11.415,33.561,6.939,4.037,13.841,22.085,0.442,0.093,0.186
Golden State Warriors,82,57,2,146291276,115.9,109.5,0.596,0.565,117.683,29.427,46.183,9.72,36.463,7.622,6.402,14.256,21.427,0.487,0.122,0.191
Houston Rockets,82,53,5,126474100,115.5,110.7,0.581,0.542,113.915,21.232,42.061,10.195,31.866,8.537,4.939,13.341,21.988,0.471,0.088,0.174
Indiana Pacers,82,48,10,110724804,109.9,106.5,0.561,0.53,108.012,25.951,43.024,9.293,33.732,8.695,4.927,13.683,19.439,0.449,0.108,0.179
Los Angeles Clippers,82,48,13,118026816,112.4,111.5,0.575,0.529,115.146,24.024,45.512,9.707,35.805,6.841,4.695,14.549,23.329,0.476,0.099,0.188
Los Angeles Lakers,82,37,23,107225482,107.8,109.5,0.554,0.527,111.768,25.561,46.585,10.183,36.402,7.537,5.366,15.659,20.744,0.463,0.106,0.193
Memphis Grizzlies,82,33,24,126107461,106.1,108.8,0.548,0.508,103.537,23.939,41.78,8.817,32.963,8.341,5.463,13.988,21.963,0.427,0.099,0.172
Miami Heat,82,39,16,153171497,107.3,107.6,0.542,0.515,105.707,24.28,46.341,11.232,35.11,7.646,5.463,14.732,20.878,0.439,0.101,0.193
Milwaukee Bucks,82,60,1,130988604,113.8,105.2,0.583,0.55,118.122,26.049,49.732,9.293,40.439,7.5,5.927,13.866,19.61,0.49,0.108,0.206
Minnesota Timberwolves,82,36,20,121962221,111.4,112.9,0.552,0.511,112.476,24.61,44.793,11.256,33.537,8.329,5.012,13.098,20.293,0.465,0.102,0.185
New Orleans Pelicans,82,33,21,116052756,111.4,112.6,0.563,0.529,115.439,27.024,47.293,11.085,36.207,7.439,5.378,14.817,21.122,0.479,0.112,0.196
New York Knicks,82,17,29,123387454,104.5,113.7,0.529,0.49,104.573,20.073,44.732,10.451,34.28,6.793,5.146,14.037,20.89,0.434,0.083,0.185
Oklahoma City Thunder,82,49,9,144916427,110.3,107,0.545,0.514,114.476,23.378,48.073,12.573,35.5,9.341,5.183,13.963,22.427,0.473,0.097,0.199
Orlando Magic,82,42,14,114394213,108.9,108.1,0.55,0.518,107.317,25.549,45.415,10.024,35.39,6.622,5.427,13.195,18.61,0.445,0.106,0.188
Philadelphia 76ers,82,51,11,115127167,112.6,110,0.574,0.532,115.183,26.915,47.768,10.878,36.89,7.39,5.268,14.915,21.28,0.477,0.111,0.198
Phoenix Suns,82,19,28,108692835,105.9,115.1,0.552,0.514,107.5,23.866,40.378,9.122,31.256,8.963,5.098,15.598,23.561,0.443,0.098,0.167
Portland Trail Blazers,82,53,6,130256600,114.7,110.5,0.568,0.528,114.659,23.012,47.988,11.793,36.195,6.659,5.037,13.841,20.354,0.474,0.095,0.198
Sacramento Kings,82,39,18,101466920,110.4,111.5,0.554,0.524,114.183,25.402,45.427,11.049,34.378,8.28,4.427,13.354,21.354,0.475,0.106,0.189
San Antonio Spurs,82,48,12,121588790,112.9,111.2,0.572,0.534,111.659,24.549,44.72,9.232,35.488,6.11,4.707,12.098,18.134,0.462,0.102,0.185
Toronto Raptors,82,58,3,137793831,113.1,107.1,0.579,0.543,114.439,25.427,45.195,9.585,35.61,8.293,5.329,14.024,21.024,0.472,0.105,0.186
Utah Jazz,82,50,4,113826156,110.9,105.7,0.572,0.538,111.72,26.012,46.354,10,36.354,8.085,5.89,15.122,21.073,0.464,0.108,0.192
Washington Wizards,82,32,25,123747588,111.1,113.9,0.567,0.531,114.024,26.268,42.354,9.683,32.671,8.329,4.622,14.073,20.744,0.469,0.108,0.174
